,area_name,date,year,month,labor_force,employment,unemployment,unemployment_rate
0,alameda county,2020-01-01,2020,january,841300,815500,25700,0.031
1,alpine county,2020-01-01,2020,january,650,620,30,0.046
2,amador county,2020-01-01,2020,january,14860,14160,700,0.047
3,butte county,2020-01-01,2020,january,97800,92400,5400,0.056
4,calaveras county,2020-01-01,2020,january,21560,20630,930,0.043
5,colusa county,2020-01-01,2020,january,10870,8790,2090,0.192
6,contra costa county,2020-01-01,2020,january,559600,541600,18000,0.032
7,del norte county,2020-01-01,2020,january,9640,9010,630,0.065
8,el dorado county,2020-01-01,2020,january,92200,88800,3500,0.037000000000000005
9,fresno county,2020-01-01,2020,january,452500,415800,36600,0.081
10,glenn county,2020-01-01,2020,january,13220,12260,970,0.073
11,humboldt county,2020-01-01,2020,january,61800,59300,2500,0.041
12,imperial county,2020-01-01,2020,january,72400,59400,13000,0.18
13,inyo county,2020-01-01,2020,january,8700,8360,340,0.039
14,kern county,2020-01-01,2020,january,396100,362200,33900,0.086
15,kings county,2020-01-01,2020,january,58100,52700,5500,0.094
16,lake county,2020-01-01,2020,january,29120,27370,1750,0.06
17,lassen county,2020-01-01,2020,january,9890,9330,560,0.056
18,los angeles county,2020-01-01,2020,january,5189200,4956900,232200,0.045
20,madera county,2020-01-01,2020,january,63400,58200,5100,0.081
21,marin county,2020-01-01,2020,january,139800,136500,3400,0.024
22,mariposa county,2020-01-01,2020,january,7040,6600,440,0.063
23,mendocino county,2020-01-01,2020,january,38310,36470,1850,0.048
24,merced county,2020-01-01,2020,january,115200,103900,11300,0.098
25,modoc county,2020-01-01,2020,january,3090,2790,300,0.097
26,mono county,2020-01-01,2020,january,9120,8800,320,0.035
27,monterey county,2020-01-01,2020,january,214100,193300,20800,0.097
28,napa county,2020-01-01,2020,january,72500,70000,2500,0.035
29,nevada county,2020-01-01,2020,january,49120,47320,1800,0.037000000000000005
30,orange county,2020-01-01,2020,january,1622100,1575500,46600,0.029
31,placer county,2020-01-01,2020,january,188400,182200,6200,0.033
32,plumas county,2020-01-01,2020,january,7490,6710,790,0.105
33,riverside county,2020-01-01,2020,january,1106100,1059300,46800,0.042
34,sacramento county,2020-01-01,2020,january,714200,686500,27700,0.039
35,san benito county,2020-01-01,2020,january,31500,29600,2000,0.062
36,san bernardino county,2020-01-01,2020,january,970000,932100,37900,0.039
37,san diego county,2020-01-01,2020,january,1592900,1540000,52900,0.033
38,san francisco county,2020-01-01,2020,january,586500,573000,13500,0.023
39,san joaquin county,2020-01-01,2020,january,325100,303300,21800,0.067
40,san luis obispo county,2020-01-01,2020,january,141200,136700,4400,0.031
41,san mateo county,2020-01-01,2020,january,462400,452600,9800,0.021
42,santa barbara county,2020-01-01,2020,january,214300,204300,10000,0.047
43,santa clara county,2020-01-01,2020,january,1055600,1028000,27700,0.026
44,santa cruz county,2020-01-01,2020,january,139600,131000,8600,0.061
45,shasta county,2020-01-01,2020,january,74600,70600,4000,0.054000000000000006
46,sierra county,2020-01-01,2020,january,1320,1230,80,0.062
47,siskiyou county,2020-01-01,2020,january,17060,15650,1420,0.083
48,solano county,2020-01-01,2020,january,209000,200500,8400,0.04
49,sonoma county,2020-01-01,2020,january,258200,250600,7600,0.029
50,stanislaus county,2020-01-01,2020,january,243300,227300,16100,0.066
51,sutter county,2020-01-01,2020,january,46500,42400,4100,0.087
52,tehama county,2020-01-01,2020,january,25710,24080,1630,0.063
53,trinity county,2020-01-01,2020,january,4430,4130,310,0.069
54,tulare county,2020-01-01,2020,january,204500,182000,22400,0.11
55,tuolumne county,2020-01-01,2020,january,21460,20410,1050,0.049
56,ventura county,2020-01-01,2020,january,423000,406600,16400,0.039
57,yolo county,2020-01-01,2020,january,109000,103600,5400,0.049
58,yuba county,2020-01-01,2020,january,30900,28800,2200,0.07
59,alameda county,2020-02-01,2020,february,840400,815400,25000,0.03
60,alpine county,2020-02-01,2020,february,650,610,30,0.05
61,amador county,2020-02-01,2020,february,14860,14200,660,0.044
62,butte county,2020-02-01,2020,february,98500,93200,5400,0.054000000000000006
63,calaveras county,2020-02-01,2020,february,21610,20700,910,0.042
64,colusa county,2020-02-01,2020,february,11200,8990,2220,0.198
65,contra costa county,2020-02-01,2020,february,558800,541300,17500,0.031
66,del norte county,2020-02-01,2020,february,9620,9020,600,0.062
67,el dorado county,2020-02-01,2020,february,92300,88900,3400,0.037000000000000005
68,fresno county,2020-02-01,2020,february,454000,415500,38500,0.085
69,glenn county,2020-02-01,2020,february,13260,12320,940,0.071
70,humboldt county,2020-02-01,2020,february,62100,59700,2400,0.039
71,imperial county,2020-02-01,2020,february,71700,59400,12200,0.17
72,inyo county,2020-02-01,2020,february,8680,8340,340,0.039
73,kern county,2020-02-01,2020,february,395800,359900,36000,0.091
74,kings county,2020-02-01,2020,february,58500,52800,5700,0.098
75,lake county,2020-02-01,2020,february,29120,27430,1690,0.058
76,lassen county,2020-02-01,2020,february,9790,9220,570,0.058
77,los angeles county,2020-02-01,2020,february,5222800,4984600,238200,0.046
79,madera county,2020-02-01,2020,february,64000,58900,5100,0.08
80,marin county,2020-02-01,2020,february,139800,136500,3300,0.023
81,mariposa county,2020-02-01,2020,february,7200,6750,450,0.063
82,mendocino county,2020-02-01,2020,february,38410,36600,1810,0.047
83,merced county,2020-02-01,2020,february,115500,103500,12000,0.104
84,modoc county,2020-02-01,2020,february,3060,2760,300,0.098
85,mono county,2020-02-01,2020,february,8890,8550,340,0.038
86,monterey county,2020-02-01,2020,february,217100,195300,21800,0.1
87,napa county,2020-02-01,2020,february,73600,71200,2400,0.032
88,nevada county,2020-02-01,2020,february,48710,46940,1780,0.036000000000000004
89,orange county,2020-02-01,2020,february,1623900,1578400,45500,0.028
90,placer county,2020-02-01,2020,february,188500,182500,6000,0.032
91,plumas county,2020-02-01,2020,february,7440,6620,820,0.11
92,riverside county,2020-02-01,2020,february,1104700,1059000,45700,0.041
93,sacramento county,2020-02-01,2020,february,714800,688000,26800,0.037000000000000005
94,san benito county,2020-02-01,2020,february,31600,29700,2000,0.062
95,san bernardino county,2020-02-01,2020,february,969700,932600,37000,0.038
96,san diego county,2020-02-01,2020,february,1595300,1544300,51100,0.032
97,san francisco county,2020-02-01,2020,february,587200,573900,13300,0.023
98,san joaquin county,2020-02-01,2020,february,326500,304900,21600,0.066
99,san luis obispo county,2020-02-01,2020,february,142500,138200,4300,0.03
100,san mateo county,2020-02-01,2020,february,462900,453200,9700,0.021
101,santa barbara county,2020-02-01,2020,february,215500,205600,9900,0.046
102,santa clara county,2020-02-01,2020,february,1055300,1028100,27200,0.026
103,santa cruz county,2020-02-01,2020,february,141100,132100,9000,0.064
104,shasta county,2020-02-01,2020,february,73400,69400,4000,0.054000000000000006
105,sierra county,2020-02-01,2020,february,1310,1220,90,0.069
106,siskiyou county,2020-02-01,2020,february,17010,15560,1450,0.085
107,solano county,2020-02-01,2020,february,208500,200300,8200,0.039
108,sonoma county,2020-02-01,2020,february,258800,251500,7300,0.028
109,stanislaus county,2020-02-01,2020,february,244000,228000,16000,0.066
110,sutter county,2020-02-01,2020,february,46600,42500,4200,0.08900000000000001
111,tehama county,2020-02-01,2020,february,25750,24160,1590,0.062
112,trinity county,2020-02-01,2020,february,4450,4130,320,0.073
113,tulare county,2020-02-01,2020,february,205400,181800,23600,0.115
114,tuolumne county,2020-02-01,2020,february,21570,20500,1070,0.05
115,ventura county,2020-02-01,2020,february,424700,409000,15800,0.037000000000000005
116,yolo county,2020-02-01,2020,february,109200,103900,5300,0.048
117,yuba county,2020-02-01,2020,february,30900,28700,2100,0.069
118,alameda county,2020-03-01,2020,march,835400,802700,32700,0.039
119,alpine county,2020-03-01,2020,march,530,490,40,0.07400000000000001
120,amador county,2020-03-01,2020,march,14790,13980,810,0.055
121,butte county,2020-03-01,2020,march,99100,92300,6800,0.068
122,calaveras county,2020-03-01,2020,march,21510,20320,1180,0.055
123,colusa county,2020-03-01,2020,march,11470,8780,2700,0.235
124,contra costa county,2020-03-01,2020,march,555500,532800,22700,0.041
125,del norte county,2020-03-01,2020,march,9480,8740,740,0.078
126,el dorado county,2020-03-01,2020,march,91700,87400,4300,0.047
127,fresno county,2020-03-01,2020,march,457000,406900,50200,0.11
128,glenn county,2020-03-01,2020,march,13160,11980,1180,0.09
129,humboldt county,2020-03-01,2020,march,61800,58700,3100,0.05
130,imperial county,2020-03-01,2020,march,73100,57900,15200,0.208
131,inyo county,2020-03-01,2020,march,8640,8220,420,0.049
132,kern county,2020-03-01,2020,march,391600,344200,47500,0.121
133,kings county,2020-03-01,2020,march,59200,51800,7300,0.124
134,lake county,2020-03-01,2020,march,29030,26920,2110,0.073
135,lassen county,2020-03-01,2020,march,9310,8610,710,0.076
136,los angeles county,2020-03-01,2020,march,4996600,4669100,327500,0.066
138,madera county,2020-03-01,2020,march,63400,56600,6700,0.107
139,marin county,2020-03-01,2020,march,137700,133400,4300,0.031
140,mariposa county,2020-03-01,2020,march,7220,6650,570,0.079
141,mendocino county,2020-03-01,2020,march,38640,36340,2300,0.06
142,merced county,2020-03-01,2020,march,116600,101300,15300,0.132
143,modoc county,2020-03-01,2020,march,3130,2760,370,0.117
144,mono county,2020-03-01,2020,march,8790,8360,430,0.049
145,monterey county,2020-03-01,2020,march,219200,192400,26700,0.122
146,napa county,2020-03-01,2020,march,73300,70300,3000,0.041
147,nevada county,2020-03-01,2020,march,47520,45250,2270,0.048
148,orange county,2020-03-01,2020,march,1587700,1528600,59000,0.037000000000000005
149,placer county,2020-03-01,2020,march,187200,179500,7700,0.041
150,plumas county,2020-03-01,2020,march,7500,6490,1020,0.136
151,riverside county,2020-03-01,2020,march,1098800,1039700,59100,0.054000000000000006
152,sacramento county,2020-03-01,2020,march,711100,676800,34300,0.048
153,san benito county,2020-03-01,2020,march,31700,29200,2500,0.079
154,san bernardino county,2020-03-01,2020,march,964100,915900,48200,0.05
155,san diego county,2020-03-01,2020,march,1575300,1509100,66100,0.042
156,san francisco county,2020-03-01,2020,march,579300,561200,18100,0.031
157,san joaquin county,2020-03-01,2020,march,328600,301100,27600,0.084
158,san luis obispo county,2020-03-01,2020,march,141800,136300,5400,0.038
159,san mateo county,2020-03-01,2020,march,455900,443100,12800,0.028
160,santa barbara county,2020-03-01,2020,march,214100,201800,12300,0.057
161,santa clara county,2020-03-01,2020,march,1042700,1007600,35200,0.034
162,santa cruz county,2020-03-01,2020,march,141500,130000,11400,0.081
163,shasta county,2020-03-01,2020,march,73400,68400,5100,0.069
164,sierra county,2020-03-01,2020,march,1300,1190,110,0.086
165,siskiyou county,2020-03-01,2020,march,16620,14860,1760,0.106
166,solano county,2020-03-01,2020,march,209000,198400,10600,0.051
167,sonoma county,2020-03-01,2020,march,257100,247600,9500,0.037000000000000005
168,stanislaus county,2020-03-01,2020,march,245600,224900,20700,0.084
169,sutter county,2020-03-01,2020,march,47400,42100,5400,0.113
170,tehama county,2020-03-01,2020,march,25050,23060,1990,0.079
171,trinity county,2020-03-01,2020,march,4500,4090,410,0.092
172,tulare county,2020-03-01,2020,march,207300,176900,30400,0.147
173,tuolumne county,2020-03-01,2020,march,20940,19590,1350,0.065
174,ventura county,2020-03-01,2020,march,422100,402100,20000,0.047
175,yolo county,2020-03-01,2020,march,108900,102400,6500,0.06
176,yuba county,2020-03-01,2020,march,31200,28500,2700,0.086
177,alameda county,2020-04-01,2020,april,804200,691200,112900,0.14
178,alpine county,2020-04-01,2020,april,500,390,110,0.21600000000000005
179,amador county,2020-04-01,2020,april,14520,12430,2090,0.14400000000000002
180,butte county,2020-04-01,2020,april,93900,79300,14600,0.155
181,calaveras county,2020-04-01,2020,april,20670,17930,2740,0.133
182,colusa county,2020-04-01,2020,april,10690,7810,2880,0.27
183,contra costa county,2020-04-01,2020,april,536500,458800,77800,0.145
184,del norte county,2020-04-01,2020,april,9610,8330,1270,0.133
185,el dorado county,2020-04-01,2020,april,89900,76200,13700,0.153
186,fresno county,2020-04-01,2020,april,450300,374400,75900,0.16899999999999998
187,glenn county,2020-04-01,2020,april,11410,9580,1830,0.16
188,humboldt county,2020-04-01,2020,april,62200,53600,8600,0.138
189,imperial county,2020-04-01,2020,april,71900,51700,20200,0.281
190,inyo county,2020-04-01,2020,april,8180,7060,1130,0.138
191,kern county,2020-04-01,2020,april,370800,301600,69200,0.187
192,kings county,2020-04-01,2020,april,57100,47400,9700,0.17
193,lake county,2020-04-01,2020,april,25960,21620,4340,0.16699999999999998
194,lassen county,2020-04-01,2020,april,9030,7990,1040,0.116
195,los angeles county,2020-04-01,2020,april,4756900,3787600,969300,0.204
197,madera county,2020-04-01,2020,april,62100,51700,10400,0.16699999999999998
198,marin county,2020-04-01,2020,april,128100,113700,14400,0.112
199,mariposa county,2020-04-01,2020,april,7840,6420,1430,0.182
200,mendocino county,2020-04-01,2020,april,37560,32040,5520,0.147
201,merced county,2020-04-01,2020,april,115500,93900,21600,0.187
202,modoc county,2020-04-01,2020,april,3070,2640,430,0.139
203,mono county,2020-04-01,2020,april,6520,4670,1840,0.28300000000000003
204,monterey county,2020-04-01,2020,april,201700,160300,41400,0.205
205,napa county,2020-04-01,2020,april,72300,60700,11600,0.161
206,nevada county,2020-04-01,2020,april,42980,36430,6550,0.152
207,orange county,2020-04-01,2020,april,1540300,1327700,212600,0.138
208,placer county,2020-04-01,2020,april,179900,156500,23500,0.13
209,plumas county,2020-04-01,2020,april,6780,5370,1410,0.208
210,riverside county,2020-04-01,2020,april,1085200,915700,169500,0.156
211,sacramento county,2020-04-01,2020,april,689900,590100,99700,0.145
212,san benito county,2020-04-01,2020,april,32300,26100,6100,0.189
213,san bernardino county,2020-04-01,2020,april,933900,806600,127300,0.136
214,san diego county,2020-04-01,2020,april,1550200,1317500,232800,0.15
215,san francisco county,2020-04-01,2020,april,553700,483900,69800,0.126
216,san joaquin county,2020-04-01,2020,april,325600,267700,57900,0.17800000000000002
217,san luis obispo county,2020-04-01,2020,april,133400,114700,18700,0.14
218,san mateo county,2020-04-01,2020,april,431100,382100,49000,0.114
219,santa barbara county,2020-04-01,2020,april,212300,182800,29500,0.139
220,santa clara county,2020-04-01,2020,april,1017700,898300,119400,0.117
221,santa cruz county,2020-04-01,2020,april,135000,112000,23000,0.17
222,shasta county,2020-04-01,2020,april,72100,60900,11200,0.156
223,sierra county,2020-04-01,2020,april,1180,1010,170,0.146
224,siskiyou county,2020-04-01,2020,april,16530,13940,2590,0.157
225,solano county,2020-04-01,2020,april,201500,171100,30400,0.151
226,sonoma county,2020-04-01,2020,april,248600,212500,36100,0.145
227,stanislaus county,2020-04-01,2020,april,233400,192500,40800,0.175
228,sutter county,2020-04-01,2020,april,45100,36900,8200,0.182
229,tehama county,2020-04-01,2020,april,25400,21750,3650,0.14400000000000002
230,trinity county,2020-04-01,2020,april,4340,3790,550,0.127
231,tulare county,2020-04-01,2020,april,195700,157900,37800,0.193
232,tuolumne county,2020-04-01,2020,april,21980,18180,3800,0.173
233,ventura county,2020-04-01,2020,april,412300,354900,57400,0.139
234,yolo county,2020-04-01,2020,april,101300,89500,11800,0.116
235,yuba county,2020-04-01,2020,april,29700,24900,4800,0.161
236,alameda county,2020-05-01,2020,may,803400,693400,110100,0.13699999999999998
237,alpine county,2020-05-01,2020,may,480,380,110,0.22
238,amador county,2020-05-01,2020,may,14070,11910,2160,0.153
239,butte county,2020-05-01,2020,may,91800,79600,12200,0.133
240,calaveras county,2020-05-01,2020,may,20020,17610,2410,0.121
241,colusa county,2020-05-01,2020,may,10160,8070,2100,0.206
242,contra costa county,2020-05-01,2020,may,534000,460200,73900,0.138
243,del norte county,2020-05-01,2020,may,9200,7990,1210,0.132
244,el dorado county,2020-05-01,2020,may,90600,76900,13700,0.151
245,fresno county,2020-05-01,2020,may,446400,377200,69200,0.155
246,glenn county,2020-05-01,2020,may,11100,9580,1520,0.13699999999999998
247,humboldt county,2020-05-01,2020,may,60900,53600,7300,0.12
248,imperial county,2020-05-01,2020,may,71800,51900,19900,0.277
249,inyo county,2020-05-01,2020,may,7950,6950,990,0.125
250,kern county,2020-05-01,2020,may,368300,301700,66600,0.181
251,kings county,2020-05-01,2020,may,57000,48100,8900,0.156
252,lake county,2020-05-01,2020,may,25480,21530,3950,0.155
253,lassen county,2020-05-01,2020,may,8880,7990,890,0.1
254,los angeles county,2020-05-01,2020,may,4716100,3735500,980600,0.208
256,madera county,2020-05-01,2020,may,62400,53000,9400,0.151
257,marin county,2020-05-01,2020,may,127700,114200,13400,0.105
258,mariposa county,2020-05-01,2020,may,7750,6390,1360,0.17600000000000002
259,mendocino county,2020-05-01,2020,may,36410,31560,4850,0.133
260,merced county,2020-05-01,2020,may,113400,94800,18600,0.16399999999999998
261,modoc county,2020-05-01,2020,may,3020,2690,330,0.109
262,mono county,2020-05-01,2020,may,6350,4490,1860,0.293
263,monterey county,2020-05-01,2020,may,200200,167000,33200,0.166
264,napa county,2020-05-01,2020,may,72100,61700,10500,0.145
265,nevada county,2020-05-01,2020,may,39690,33960,5740,0.14400000000000002
266,orange county,2020-05-01,2020,may,1547600,1320500,227100,0.147
267,placer county,2020-05-01,2020,may,180600,158000,22600,0.125
268,plumas county,2020-05-01,2020,may,6390,5320,1060,0.16699999999999998
269,riverside county,2020-05-01,2020,may,1085900,913000,172800,0.159
270,sacramento county,2020-05-01,2020,may,695500,596100,99300,0.14300000000000002
271,san benito county,2020-05-01,2020,may,30900,26100,4800,0.155
272,san bernardino county,2020-05-01,2020,may,934800,803300,131400,0.141
273,san diego county,2020-05-01,2020,may,1550000,1314200,235700,0.152
274,san francisco county,2020-05-01,2020,may,553500,483100,70400,0.127
275,san joaquin county,2020-05-01,2020,may,321500,268000,53500,0.166
276,san luis obispo county,2020-05-01,2020,may,130400,113600,16800,0.129
277,san mateo county,2020-05-01,2020,may,429400,381400,48000,0.112
278,santa barbara county,2020-05-01,2020,may,209600,182600,27100,0.129
279,santa clara county,2020-05-01,2020,may,1011700,898300,113400,0.112
280,santa cruz county,2020-05-01,2020,may,130700,111700,19000,0.146
281,shasta county,2020-05-01,2020,may,71000,61800,9200,0.13
282,sierra county,2020-05-01,2020,may,1140,1000,140,0.125
283,siskiyou county,2020-05-01,2020,may,15830,13690,2130,0.135
284,solano county,2020-05-01,2020,may,199900,171200,28800,0.14400000000000002
285,sonoma county,2020-05-01,2020,may,246900,214900,32100,0.13
286,stanislaus county,2020-05-01,2020,may,232100,194500,37600,0.162
287,sutter county,2020-05-01,2020,may,43000,36100,6900,0.161
288,tehama county,2020-05-01,2020,may,24430,21340,3090,0.127
289,trinity county,2020-05-01,2020,may,4270,3820,460,0.107
290,tulare county,2020-05-01,2020,may,193000,157900,35000,0.182
291,tuolumne county,2020-05-01,2020,may,20830,17380,3450,0.166
292,ventura county,2020-05-01,2020,may,405500,350100,55400,0.13699999999999998
293,yolo county,2020-05-01,2020,may,101600,90900,10800,0.106
294,yuba county,2020-05-01,2020,may,28600,24200,4400,0.154
