,area_name,date,year,month,labor_force,employment,unemployment,unemployment_rate
295,alameda county,2020-06-01,2020,june,824100,713000,111100,0.135
296,alpine county,2020-06-01,2020,june,490,400,90,0.189
297,amador county,2020-06-01,2020,june,14460,12620,1840,0.127
298,butte county,2020-06-01,2020,june,93700,82300,11400,0.122
299,calaveras county,2020-06-01,2020,june,20660,18390,2270,0.11
300,colusa county,2020-06-01,2020,june,9950,8120,1830,0.184
301,contra costa county,2020-06-01,2020,june,546900,473500,73400,0.134
302,del norte county,2020-06-01,2020,june,9320,8160,1170,0.125
303,el dorado county,2020-06-01,2020,june,90900,79200,11700,0.128
304,fresno county,2020-06-01,2020,june,450000,384900,65200,0.145
305,glenn county,2020-06-01,2020,june,11090,9670,1420,0.128
306,humboldt county,2020-06-01,2020,june,59900,52900,7000,0.117
307,imperial county,2020-06-01,2020,june,73200,53100,20100,0.274
308,inyo county,2020-06-01,2020,june,8320,7410,920,0.11
309,kern county,2020-06-01,2020,june,375000,309600,65500,0.175
310,kings county,2020-06-01,2020,june,57000,48800,8200,0.14400000000000002
311,lake county,2020-06-01,2020,june,25850,22180,3670,0.142
312,lassen county,2020-06-01,2020,june,8860,8030,830,0.094
313,los angeles county,2020-06-01,2020,june,4924500,3958900,965500,0.196
315,madera county,2020-06-01,2020,june,62200,53600,8600,0.139
316,marin county,2020-06-01,2020,june,133000,119500,13400,0.101
317,mariposa county,2020-06-01,2020,june,7870,6760,1110,0.141
318,mendocino county,2020-06-01,2020,june,37720,33060,4660,0.124
319,merced county,2020-06-01,2020,june,114600,96700,17900,0.156
320,modoc county,2020-06-01,2020,june,3070,2770,300,0.098
321,mono county,2020-06-01,2020,june,6770,5100,1670,0.247
322,monterey county,2020-06-01,2020,june,203500,174200,29300,0.14400000000000002
323,napa county,2020-06-01,2020,june,73300,64000,9300,0.126
324,nevada county,2020-06-01,2020,june,41200,35810,5390,0.131
325,orange county,2020-06-01,2020,june,1594600,1377000,217600,0.136
326,placer county,2020-06-01,2020,june,183000,162600,20400,0.111
327,plumas county,2020-06-01,2020,june,6780,5850,930,0.13699999999999998
328,riverside county,2020-06-01,2020,june,1101100,939300,161900,0.147
329,sacramento county,2020-06-01,2020,june,709600,613300,96200,0.136
330,san benito county,2020-06-01,2020,june,31200,27000,4300,0.13699999999999998
331,san bernardino county,2020-06-01,2020,june,958200,826000,132200,0.138
332,san diego county,2020-06-01,2020,june,1584400,1365100,219300,0.138
333,san francisco county,2020-06-01,2020,june,570000,498800,71200,0.125
334,san joaquin county,2020-06-01,2020,june,327400,275600,51800,0.158
335,san luis obispo county,2020-06-01,2020,june,132900,117600,15200,0.115
336,san mateo county,2020-06-01,2020,june,441700,393900,47800,0.108
337,santa barbara county,2020-06-01,2020,june,213600,188900,24700,0.115
338,santa clara county,2020-06-01,2020,june,1037400,926700,110700,0.107
339,santa cruz county,2020-06-01,2020,june,132300,114900,17400,0.131
340,shasta county,2020-06-01,2020,june,72700,64400,8300,0.115
341,sierra county,2020-06-01,2020,june,1190,1050,130,0.113
342,siskiyou county,2020-06-01,2020,june,16250,14230,2020,0.124
343,solano county,2020-06-01,2020,june,203700,176100,27600,0.136
344,sonoma county,2020-06-01,2020,june,252200,222900,29400,0.116
345,stanislaus county,2020-06-01,2020,june,236500,201100,35400,0.15
346,sutter county,2020-06-01,2020,june,43200,36800,6500,0.15
347,tehama county,2020-06-01,2020,june,24750,21840,2920,0.118
348,trinity county,2020-06-01,2020,june,4550,4110,440,0.096
349,tulare county,2020-06-01,2020,june,195300,161900,33400,0.171
350,tuolumne county,2020-06-01,2020,june,20570,17620,2950,0.14300000000000002
351,ventura county,2020-06-01,2020,june,412900,361000,51900,0.126
352,yolo county,2020-06-01,2020,june,104300,93400,10900,0.105
353,yuba county,2020-06-01,2020,june,28700,24600,4100,0.14300000000000002
354,alameda county,2020-07-01,2020,july,819100,719100,100000,0.122
355,alpine county,2020-07-01,2020,july,460,400,70,0.14400000000000002
356,amador county,2020-07-01,2020,july,14240,12540,1700,0.119
357,butte county,2020-07-01,2020,july,92800,82400,10400,0.112
358,calaveras county,2020-07-01,2020,july,20630,18640,1990,0.096
359,colusa county,2020-07-01,2020,july,9920,8430,1490,0.15
360,contra costa county,2020-07-01,2020,july,544200,477900,66300,0.122
361,del norte county,2020-07-01,2020,july,9310,8240,1070,0.115
362,el dorado county,2020-07-01,2020,july,89400,80200,9200,0.103
363,fresno county,2020-07-01,2020,july,446600,386600,60000,0.134
364,glenn county,2020-07-01,2020,july,11930,10630,1300,0.109
365,humboldt county,2020-07-01,2020,july,59300,53000,6300,0.106
366,imperial county,2020-07-01,2020,july,71700,52400,19400,0.27
367,inyo county,2020-07-01,2020,july,8270,7480,790,0.095
368,kern county,2020-07-01,2020,july,370500,309600,60900,0.16399999999999998
369,kings county,2020-07-01,2020,july,56800,49400,7400,0.13
370,lake county,2020-07-01,2020,july,26960,23800,3160,0.117
371,lassen county,2020-07-01,2020,july,8870,8110,760,0.086
372,los angeles county,2020-07-01,2020,july,4956700,4040100,916700,0.185
374,madera county,2020-07-01,2020,july,61200,53300,7900,0.129
375,marin county,2020-07-01,2020,july,133800,121800,12000,0.09
376,mariposa county,2020-07-01,2020,july,7980,7120,860,0.108
377,mendocino county,2020-07-01,2020,july,36910,32810,4110,0.111
378,merced county,2020-07-01,2020,july,112300,96100,16200,0.14400000000000002
379,modoc county,2020-07-01,2020,july,3010,2750,260,0.087
380,mono county,2020-07-01,2020,july,6890,5750,1140,0.166
381,monterey county,2020-07-01,2020,july,199300,175300,24000,0.12
382,napa county,2020-07-01,2020,july,72800,65100,7700,0.106
383,nevada county,2020-07-01,2020,july,43930,39190,4740,0.108
384,orange county,2020-07-01,2020,july,1590500,1393700,196800,0.124
385,placer county,2020-07-01,2020,july,182300,164500,17800,0.098
386,plumas county,2020-07-01,2020,july,7320,6490,820,0.112
387,riverside county,2020-07-01,2020,july,1103100,951800,151300,0.13699999999999998
388,sacramento county,2020-07-01,2020,july,709000,620100,88900,0.125
389,san benito county,2020-07-01,2020,july,31000,27400,3700,0.118
390,san bernardino county,2020-07-01,2020,july,963000,836700,126300,0.131
391,san diego county,2020-07-01,2020,july,1575500,1379500,196100,0.124
392,san francisco county,2020-07-01,2020,july,573500,510000,63500,0.111
393,san joaquin county,2020-07-01,2020,july,323800,276100,47700,0.147
394,san luis obispo county,2020-07-01,2020,july,132300,119000,13300,0.1
395,san mateo county,2020-07-01,2020,july,444500,402900,41500,0.093
396,santa barbara county,2020-07-01,2020,july,210800,189200,21700,0.103
397,santa clara county,2020-07-01,2020,july,1035500,937900,97600,0.094
398,santa cruz county,2020-07-01,2020,july,131200,116400,14800,0.113
399,shasta county,2020-07-01,2020,july,72300,64800,7500,0.104
400,sierra county,2020-07-01,2020,july,1210,1100,110,0.094
401,siskiyou county,2020-07-01,2020,july,16210,14400,1820,0.112
402,solano county,2020-07-01,2020,july,202700,177400,25400,0.125
403,sonoma county,2020-07-01,2020,july,253100,227800,25200,0.1
404,stanislaus county,2020-07-01,2020,july,237500,205200,32300,0.136
405,sutter county,2020-07-01,2020,july,42300,36600,5700,0.135
406,tehama county,2020-07-01,2020,july,24110,21440,2670,0.111
407,trinity county,2020-07-01,2020,july,4460,4070,390,0.087
408,tulare county,2020-07-01,2020,july,191600,160700,30900,0.161
409,tuolumne county,2020-07-01,2020,july,19810,17300,2510,0.127
410,ventura county,2020-07-01,2020,july,412700,365700,47000,0.114
411,yolo county,2020-07-01,2020,july,104500,94500,9900,0.095
412,yuba county,2020-07-01,2020,july,28300,24400,3800,0.135
413,alameda county,2020-08-01,2020,august,802800,726800,76000,0.095
414,alpine county,2020-08-01,2020,august,450,410,50,0.104
415,amador county,2020-08-01,2020,august,14140,12880,1260,0.08900000000000001
416,butte county,2020-08-01,2020,august,93000,85100,8000,0.086
417,calaveras county,2020-08-01,2020,august,20490,19010,1470,0.07200000000000001
418,colusa county,2020-08-01,2020,august,9960,8930,1030,0.104
419,contra costa county,2020-08-01,2020,august,533400,483000,50300,0.094
420,del norte county,2020-08-01,2020,august,9330,8490,840,0.09
421,el dorado county,2020-08-01,2020,august,88300,81500,6800,0.076
422,fresno county,2020-08-01,2020,august,442400,396700,45700,0.103
423,glenn county,2020-08-01,2020,august,12360,11400,960,0.077
424,humboldt county,2020-08-01,2020,august,59000,54200,4800,0.08199999999999999
425,imperial county,2020-08-01,2020,august,68200,53200,15000,0.22
426,inyo county,2020-08-01,2020,august,8160,7570,580,0.07200000000000001
427,kern county,2020-08-01,2020,august,368300,322600,45700,0.124
428,kings county,2020-08-01,2020,august,55000,49400,5600,0.101
429,lake county,2020-08-01,2020,august,28520,26100,2420,0.085
430,lassen county,2020-08-01,2020,august,8940,8370,570,0.064
431,los angeles county,2020-08-01,2020,august,4935700,4107500,828200,0.168
433,madera county,2020-08-01,2020,august,61500,55600,5800,0.095
434,marin county,2020-08-01,2020,august,132800,123800,9000,0.068
435,mariposa county,2020-08-01,2020,august,7770,7130,640,0.083
436,mendocino county,2020-08-01,2020,august,36730,33610,3130,0.085
437,merced county,2020-08-01,2020,august,112500,100400,12100,0.107
438,modoc county,2020-08-01,2020,august,3050,2850,190,0.063
439,mono county,2020-08-01,2020,august,6860,6090,770,0.113
440,monterey county,2020-08-01,2020,august,194800,177400,17400,0.08900000000000001
441,napa county,2020-08-01,2020,august,71600,65900,5700,0.08
442,nevada county,2020-08-01,2020,august,45390,41860,3530,0.078
443,orange county,2020-08-01,2020,august,1549700,1402600,147100,0.095
444,placer county,2020-08-01,2020,august,180600,167300,13400,0.07400000000000001
445,plumas county,2020-08-01,2020,august,7850,7240,610,0.078
446,riverside county,2020-08-01,2020,august,1077700,962700,114900,0.107
447,sacramento county,2020-08-01,2020,august,699500,630600,68900,0.099
448,san benito county,2020-08-01,2020,august,30300,27600,2700,0.08800000000000001
449,san bernardino county,2020-08-01,2020,august,945600,848100,97500,0.103
450,san diego county,2020-08-01,2020,august,1553500,1406000,147500,0.095
451,san francisco county,2020-08-01,2020,august,563600,515800,47800,0.085
452,san joaquin county,2020-08-01,2020,august,319700,283400,36400,0.114
453,san luis obispo county,2020-08-01,2020,august,128900,119100,9800,0.076
454,san mateo county,2020-08-01,2020,august,439100,407500,31600,0.07200000000000001
455,santa barbara county,2020-08-01,2020,august,209900,193900,16000,0.076
456,santa clara county,2020-08-01,2020,august,1020500,946900,73700,0.07200000000000001
457,santa cruz county,2020-08-01,2020,august,128400,117500,10900,0.085
458,shasta county,2020-08-01,2020,august,72300,66600,5700,0.079
459,sierra county,2020-08-01,2020,august,1210,1120,90,0.073
460,siskiyou county,2020-08-01,2020,august,15710,14340,1370,0.087
461,solano county,2020-08-01,2020,august,200800,181100,19800,0.098
462,sonoma county,2020-08-01,2020,august,250800,231900,18900,0.075
463,stanislaus county,2020-08-01,2020,august,235500,211200,24300,0.103
464,sutter county,2020-08-01,2020,august,41500,37300,4200,0.101
465,tehama county,2020-08-01,2020,august,24190,22160,2030,0.084
466,trinity county,2020-08-01,2020,august,4490,4200,290,0.065
467,tulare county,2020-08-01,2020,august,190100,166700,23400,0.123
468,tuolumne county,2020-08-01,2020,august,19460,17550,1910,0.098
469,ventura county,2020-08-01,2020,august,404600,369300,35300,0.087
470,yolo county,2020-08-01,2020,august,103600,96200,7400,0.07200000000000001
471,yuba county,2020-08-01,2020,august,27900,25000,2900,0.103
472,alameda county,2020-09-01,2020,september,804700,730800,73900,0.092
473,alpine county,2020-09-01,2020,september,450,410,50,0.104
474,amador county,2020-09-01,2020,september,14120,12910,1210,0.086
475,butte county,2020-09-01,2020,september,93100,85300,7800,0.084
476,calaveras county,2020-09-01,2020,september,20230,18750,1470,0.073
477,colusa county,2020-09-01,2020,september,9820,8820,1000,0.102
478,contra costa county,2020-09-01,2020,september,534900,485900,49000,0.092
479,del norte county,2020-09-01,2020,september,9090,8300,790,0.087
480,el dorado county,2020-09-01,2020,september,88500,82100,6500,0.073
481,fresno county,2020-09-01,2020,september,440600,395900,44700,0.101
482,glenn county,2020-09-01,2020,september,12590,11690,900,0.071
483,humboldt county,2020-09-01,2020,september,59500,55000,4500,0.076
484,imperial county,2020-09-01,2020,september,67500,53200,14300,0.211
485,inyo county,2020-09-01,2020,september,8110,7520,590,0.073
486,kern county,2020-09-01,2020,september,365900,321800,44200,0.121
487,kings county,2020-09-01,2020,september,54900,49400,5500,0.1
488,lake county,2020-09-01,2020,september,28560,26130,2430,0.085
489,lassen county,2020-09-01,2020,september,9110,8550,560,0.061
490,los angeles county,2020-09-01,2020,september,4962400,4202300,760100,0.153
492,madera county,2020-09-01,2020,september,61400,55700,5600,0.092
493,marin county,2020-09-01,2020,september,132600,124100,8600,0.065
494,mariposa county,2020-09-01,2020,september,7620,6990,630,0.083
495,mendocino county,2020-09-01,2020,september,36550,33530,3030,0.083
496,merced county,2020-09-01,2020,september,113900,102200,11700,0.103
497,modoc county,2020-09-01,2020,september,3010,2820,190,0.062
498,mono county,2020-09-01,2020,september,6590,5850,740,0.112
499,monterey county,2020-09-01,2020,september,193300,176600,16700,0.086
500,napa county,2020-09-01,2020,september,71500,66100,5400,0.075
501,nevada county,2020-09-01,2020,september,45640,42280,3360,0.07400000000000001
502,orange county,2020-09-01,2020,september,1562800,1423400,139400,0.08900000000000001
503,placer county,2020-09-01,2020,september,180800,168200,12600,0.07
504,plumas county,2020-09-01,2020,september,7510,6930,580,0.077
505,riverside county,2020-09-01,2020,september,1081000,969200,111800,0.103
506,sacramento county,2020-09-01,2020,september,701500,634100,67400,0.096
507,san benito county,2020-09-01,2020,september,30300,27700,2600,0.086
508,san bernardino county,2020-09-01,2020,september,949300,853200,96100,0.101
509,san diego county,2020-09-01,2020,september,1555100,1416700,138500,0.08900000000000001
510,san francisco county,2020-09-01,2020,september,562300,515700,46600,0.083
511,san joaquin county,2020-09-01,2020,september,320700,284800,35900,0.112
512,san luis obispo county,2020-09-01,2020,september,129200,119900,9200,0.07200000000000001
513,san mateo county,2020-09-01,2020,september,438300,407500,30800,0.07
514,santa barbara county,2020-09-01,2020,september,211100,195700,15400,0.073
515,santa clara county,2020-09-01,2020,september,1022700,951800,70900,0.069
516,santa cruz county,2020-09-01,2020,september,127800,117500,10400,0.081
517,shasta county,2020-09-01,2020,september,72000,66500,5500,0.077
518,sierra county,2020-09-01,2020,september,1250,1170,80,0.065
519,siskiyou county,2020-09-01,2020,september,15840,14530,1310,0.083
520,solano county,2020-09-01,2020,september,201400,182000,19400,0.096
521,sonoma county,2020-09-01,2020,september,250700,232700,18000,0.07200000000000001
522,stanislaus county,2020-09-01,2020,september,235000,211300,23700,0.101
523,sutter county,2020-09-01,2020,september,41000,36900,4100,0.1
524,tehama county,2020-09-01,2020,september,24500,22540,1960,0.08
525,trinity county,2020-09-01,2020,september,4340,4050,290,0.066
526,tulare county,2020-09-01,2020,september,191100,168400,22800,0.119
527,tuolumne county,2020-09-01,2020,september,19310,17490,1810,0.094
528,ventura county,2020-09-01,2020,september,406000,372300,33600,0.083
529,yolo county,2020-09-01,2020,september,103700,96500,7200,0.07
530,yuba county,2020-09-01,2020,september,28000,25100,2900,0.104
531,alameda county,2020-10-01,2020,october,830900,765400,65500,0.079
532,alpine county,2020-10-01,2020,october,470,420,50,0.097
533,amador county,2020-10-01,2020,october,14610,13490,1130,0.077
534,butte county,2020-10-01,2020,october,96300,89100,7100,0.07400000000000001
535,calaveras county,2020-10-01,2020,october,20740,19370,1370,0.066
536,colusa county,2020-10-01,2020,october,10010,9080,930,0.093
537,contra costa county,2020-10-01,2020,october,552600,508900,43700,0.079
538,del norte county,2020-10-01,2020,october,9420,8670,750,0.08
539,el dorado county,2020-10-01,2020,october,91900,86000,5900,0.064
540,fresno county,2020-10-01,2020,october,450400,408700,41700,0.093
541,glenn county,2020-10-01,2020,october,13200,12370,830,0.063
542,humboldt county,2020-10-01,2020,october,61500,57400,4100,0.066
543,imperial county,2020-10-01,2020,october,68700,55800,13000,0.188
544,inyo county,2020-10-01,2020,october,8490,7950,550,0.065
545,kern county,2020-10-01,2020,october,380700,340400,40300,0.106
546,kings county,2020-10-01,2020,october,56300,51100,5300,0.093
547,lake county,2020-10-01,2020,october,29720,27430,2290,0.077
548,lassen county,2020-10-01,2020,october,10100,9580,530,0.052000000000000005
549,los angeles county,2020-10-01,2020,october,5089800,4476400,613400,0.121
551,madera county,2020-10-01,2020,october,61800,56600,5200,0.085
552,marin county,2020-10-01,2020,october,137800,130300,7400,0.054000000000000006
553,mariposa county,2020-10-01,2020,october,7690,7130,560,0.073
554,mendocino county,2020-10-01,2020,october,37350,34600,2740,0.073
555,merced county,2020-10-01,2020,october,116500,105700,10900,0.093
556,modoc county,2020-10-01,2020,october,3210,3020,190,0.059
557,mono county,2020-10-01,2020,october,7270,6560,720,0.099
558,monterey county,2020-10-01,2020,october,195500,180200,15300,0.078
559,napa county,2020-10-01,2020,october,73500,68700,4900,0.066
560,nevada county,2020-10-01,2020,october,47220,44210,3010,0.064
561,orange county,2020-10-01,2020,october,1625500,1502800,122700,0.075
562,placer county,2020-10-01,2020,october,187500,176400,11200,0.06
563,plumas county,2020-10-01,2020,october,7970,7420,550,0.069
564,riverside county,2020-10-01,2020,october,1122100,1021000,101100,0.09
565,sacramento county,2020-10-01,2020,october,725400,664700,60700,0.084
566,san benito county,2020-10-01,2020,october,31600,29200,2400,0.075
567,san bernardino county,2020-10-01,2020,october,988200,898700,89500,0.091
568,san diego county,2020-10-01,2020,october,1610900,1486400,124500,0.077
569,san francisco county,2020-10-01,2020,october,581100,541100,40100,0.069
570,san joaquin county,2020-10-01,2020,october,330200,297300,32900,0.1
571,san luis obispo county,2020-10-01,2020,october,136000,127900,8100,0.06
572,san mateo county,2020-10-01,2020,october,454700,427600,27100,0.06
573,santa barbara county,2020-10-01,2020,october,218200,204400,13800,0.063
574,santa clara county,2020-10-01,2020,october,1064600,1001700,62900,0.059
575,santa cruz county,2020-10-01,2020,october,131700,122300,9400,0.071
576,shasta county,2020-10-01,2020,october,75400,70200,5200,0.069
577,sierra county,2020-10-01,2020,october,1330,1260,70,0.055
578,siskiyou county,2020-10-01,2020,october,16480,15280,1210,0.073
579,solano county,2020-10-01,2020,october,208300,190500,17700,0.085
580,sonoma county,2020-10-01,2020,october,258100,242000,16100,0.062
581,stanislaus county,2020-10-01,2020,october,240800,219000,21900,0.091
582,sutter county,2020-10-01,2020,october,41800,38000,3800,0.091
583,tehama county,2020-10-01,2020,october,25420,23600,1820,0.07200000000000001
584,trinity county,2020-10-01,2020,october,4390,4110,280,0.063
585,tulare county,2020-10-01,2020,october,193800,172600,21200,0.109
586,tuolumne county,2020-10-01,2020,october,20200,18530,1670,0.083
587,ventura county,2020-10-01,2020,october,420000,390100,30000,0.071
588,yolo county,2020-10-01,2020,october,107600,101000,6600,0.062
589,yuba county,2020-10-01,2020,october,28700,26100,2700,0.094
